,SARI,FKGL,REFEREE_SCORE,SALSA_REFERENCE_FREE,QUESTEVAL_REFERENCE_BASED,QUESTEVAL_REFERENCE_FREE,SUMMACZS,SUMMACCONV
ACCESS,0.40991197465280665,10.387589208642412,-0.15228922182120583,48.5325396340104,0.5615284263201663,0.6369531874615384,0.746101059873181,0.6898600093929314
KEEP-IT-SIMPLE,0.35801513669230767,8.64859331966736,0.5135396977401248,65.75556613710603,0.4763469044844075,0.541860603891892,0.08875691186278588,0.37387420051559256
SWIPE-V5,0.4780752277125,7.708124999999999,0.48965296143866943,64.84227064534304,0.5939950114178795,0.6224873283451143,0.5513453245634096,0.6564182768794178
SWIPE-V5-CLEAN,0.45561311686249995,8.218650506486487,0.4496336754968815,62.10474474771309,0.5918268693970893,0.633329346072765,0.651068719002079,0.7247753545135134
GPT3,0.3743827765738046,9.434658820266112,0.48925527642619543,63.63650668043036,0.5385822302889813,0.596305879029106,0.37634174454469854,0.4416207329147609
BARTL-WIKILARGE,0.37871345864241157,9.716823279829523,0.1665143045114345,56.55266112746153,0.5261753931392931,0.5918005453887734,0.49141278043035347,0.59537963702079
REFERENCE,,8.832957368698544,0.3245451047006237,63.725171124954265,,0.6257064328108108,0.5082335345488566,0.5773616236216216
